excerpt,target_classification
"Communications Officer
**Organization:** Right To Play Lebanon **Location:** Beirut, Lebanon **Contract Duration:** Fixed Term/6 months contract with possibility of renewal based on performance and availability of funding **Closing Date: June 22,2022** **BACKGROUND:** Right To Play is a global organisation that protects, educates and empowers children to rise above adversity using play. By harnessing play, one of the most powerful and fundamental forces in a child’s life, we helped 2.3 million children last year to stay in school and out of work, to prevent life-threatening diseases like HIV and malaria and to stay safe from exploitation and abuse. We are the only global development organization focused exclusively on using play to transform the lives of children and youth impacted by poverty, war, disease and inequality. Established in 2000, Right To Play reaches children through experiential programming in 15 countries in Africa, Asia, the Middle East, and North America. These programs are supported by our headquarters in Toronto, Canada; London, UK and eight national offices across Europe (Germany, The Netherlands, Norway, Sweden, Switzerland, UK) and North America (Canada, US). With a shared passion for our mission, our Culture Code guides how we act and interact based on five core pillars: - Accept Everyone – *Be intentional about inclusion* - Make Things Happen – *Seek opportunities to lead and innovate* - Display Courage – *Act with integrity* - Demonstrate Care – *Look after yourself and one another* - Be Playful – *Have fun at work* Please visit[ our website ](http://www.righttoplay.ca/)to learn more about who we are and what we do, and [watch this video ](https://www.righttoplay.com/en/landing/our-culture-code/)to find out about the five pillars of our Culture Code. **JOB SUMMARY:** The Communications Officer reports directly to the Country Director (CD). He/she receives guidelines from the Marketing and Communications Team at Right To Play Headquarters. The Communications Officer is responsible for managing the communication plan and activities in Lebanon. He/she is expected to assist in enhancing the organization’s overall public image in Lebanon. The incumbent works closely with the Program Manager, the Monitoring, Evaluation and Learning Officer and the People and Culture Officer. \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_ **INDIRECT ADVISORY RESPONSIBILITIES:** The incumbent deals with the country staff especially Project Manager, Project officers. He/she is expected to provide advice to the country staff when necessary. **PRIMARY RESPONSIBILITIES:** In accordance with Right To Play (RTP) approved policies and procedures, the incumbent: **Planning and Compliance: 35%** - Develops and implements an annual Communication Plan, in line with Regional Office Communication Plan. - Provides leadership for overall communications related to Right To Play in Lebanon. - Ensures that all communication materials and messages are in-line with all project grant agreements. - Conducts field visits to project sites and ensures proper dissemination of information for events, success stories, etc. - Ensures proper documentation of communication materials. - Conducts ongoing review of the communication plan and communications components of country action and strategic plans to ensure compliance; identifies gap areas and recommends solutions. - Ensures Right To Play promotion of various International “Days” (Child Day, Diabetes Day etc.) are in-line with national strategy and behavioural and social goals. - Facilitates relationship building with country and community opinion leaders and celebrities (including Athlete Ambassadors/Supporters) to endorse and disseminate behaviour modification messages for social","[""Education""]"
"Spécialiste Protection Transversale
**Titre du poste :** Spécialiste Régional en Protection Transversale **Répondant à :** Coordinateur Régional en Protection **Supervisé par :** Coordinateur Régional en Protection **Fournit une supervision technique :** Chef des Projets DRC et des Parternaires **Duty station :** Dakar, Ouagadougou, Bamako ou Niamey en fonction du lieu de résidence habituel du candidat sélectionné **Area of Operation :** Mali, Burkina-Faso, Niger avec déplacements fréquents aux Trois Frontières. Autres pays de la région WANALAC de DRC **Période considérée :** 12 mois (renouvelables) **Type de contrat :** Contrat de travail national – **l’autorisation pour travailler dans le pays de la « duty station » est indispensable** **Salary & Benefits :** Non Management G-1 **Introduction** Le Conseil danois pour les réfugiés porte assistance aux réfugiés et aux personnes déplacées à travers le monde : nous fournissons une aide d’urgence à ces personnes, nous combattons pour leurs droits et nous renforçons leurs opportunités pour un meilleur futur. Nous travaillons dans des zones affectées par les conflits, ainsi que le long des routes de déplacements, et au sein des pays dans lesquels les réfugiés s’établissent. En coopération avec les communautés locales, nous nous efforçons d’atteindre des solutions responsables et durables. Nous travaillons pour une intégration réussie des communautés vulnérables et, lorsque cela est possible, à la réalisation de leur souhait de retour chez eux. Le Conseil Danois pour les Réfugiés (ci-après : DRC, pour Danish Refugee Council) a été fondé au Danemark en 1956 et est depuis devenu une organisation humanitaire internationale avec plus de 7 000 employés et de 8 000 volontaires. Ayant son siège établi à Copenhague, et présent dans 40 pays, le DRC est une organisation d’aide non gouvernementale, à but non-lucratif, politiquement neutre et indépendante et non-confessionnelle. Notre vision est une vie avec dignité pour toutes les personnes déplacées dans le monde. Tous nos efforts reposent sur notre boussole morale : l’humanité, le respect, l’indépendance, la neutralité, la participation, l’honnêteté et la transparence. **1. Contexte** DRC opère en Afrique de l’Ouest depuis 1998. Le Bureau régional de DRC pour l’Afrique de l’Ouest, du Nord et l’Amérique latine (WANALAC) est établi à Dakar, Sénégal. Mené par le Directeur exécutif régional, DRC WANALAC supervise, supporte et oriente de manière stratégique les Bureaux des missions de DRC dans la région. Depuis mai 2022, cela la région comprend le Burkina Faso, le Mali, le Niger, le Nigeria, le Cameroun, le République Centrafricaine, l’Algérie, la Tunisie, la Libye, la Colombie et le Venezuela. Un département des opérations et subventions multi-pays existe au Bureau Régional depuis février 2021 avec des projets multi-pays et transfrontaliers, et des subventions détenues par la région. Le poste de Spécialiste en Protection Transversale est nouveau au Bureau Régional. Ce poste est ouvert sous réserve d’une confirmation de financement qui est attendue ce mois. **2. Objectifs du poste** Ce poste fournit un soutien et/ou une orientation technique à un projet multi-pays soutenant une première réponse d'urgence par des partenaires nationaux et des OSC locales au Burkina Faso, au Niger et au Mali (3/4 temps), et pour des mandats d'autres pays de la région (Afrique de l'Ouest, Afrique du Nord, Amérique latine - WANALAC). Il veille au respect des procédures et des directives de DRC au sein de la région WANALAC. Le poste contribue à l'amélioration des opérations et des stratégies, qui sont traduites en plans d'action et en tâches quotidiennes. Le spécialiste fera partie de l'équipe Programme régionale, sous la supervision du coordinateur régional en protection. Il/elle travaillera en étroite collaboration avec l'équipe des opérations multi-pays de DRC, les équipes des bureaux","[""Protection and Human Rights""]"
"Social Worker
Duration : 10 Months-Extendable Location : Reyhanli-Hatay Closing date : 25 Jun 2022 **About NSPPL:** The National Syrian Project for Prosthetic Limbs is a nonprofit, humanitarian organization, with centers inside Syria and Turkey. NSPPL aims to help people who have undergone amputations as a result of Syrian War by providing them with prosthetic body parts and the appropriate rehabilitation. Established in February 2013 by a group of Syrian doctors living overseas. **Position Responsibilities and Duties:** - Determines nature of patient’s situation by interviewing client; assessing medical, psychological, emotional, and social information . - Establishes course of action by exploring options; setting goals with client. - Obtains assistance for patient by referring him/her to community resources; arranging for appointments; establishing rapport with other agencies. - Fosters patient‘s action or adjustment by interpreting attitudes and patterns of behavior; explaining and pointing out new options. - Maintains record of case by documenting client's situation and patient’s own actions. - Monitors planned actions by periodic follow-up. - Maintains operations by following policies and procedures; participating in quality reviews; reporting needed changes. - Maintains patient confidence and protects operations by keeping information confidential. - Contributes to team effort by accomplishing related results as needed. - Documenting patients' daily visits and updating the patient's file - Follow-up patient general assessment in terms of implementation or any change - Follow-up of patients' daily appointments, measurement dates, arrival of materials - Any other duties related to the nature of the job as directed by the supervisor. **Qualifications & requirements:** - Bachelor's degree of sociology **.** - Minimum 2 years experience as a Social Worker , or similar position. - Fluency in Arabic, English is an advantage.. - Microsoft Office, Excel, word. Good user of internet - Ability to work within a team structure or in isolation, flexible, and can cope with stressful workload and working with limited resources. - Excellent interpersonal and communication skills. \*\*","[""Health""]"
"Intern Shared Operations
*‘flexible, independent with excellent planning & organizational skills’* 4-5 days per week for a period of 6-9 months, starting in September 2022 **You** You are interested in working in an international organization and eager to learn. You are enthusiastic, result driven and have great communication skills. As an intern in this role, you support the Operations and Quality officer and the Senior Advisor Organizational Development in the following areas: travel, quality management system development, sustainability management and operations in general. This is an overall internship in which you have contact with various departments. We are really looking for a Jack-of-all-trades! **Your Challenge** There is operational work to do, but you will also be involved in more tactical and strategic discussions. Obligations you may have in relation to your study, as well as your personal interests will be discussed with you in order to ensure that the time with War Child will benefit your start in the job market. **Your responsibilities** Quality management system development and ISO9001 certification We are working towards ISO9001:2015 and Partos 9001:2015 certification of our quality management system. You will familiarize with the significance of a QMS for planning and control, and the specific challenges for a knowledge organization. As a member of the QMS development working group: - Prepare for improvement actions resulting from the internal quality audit - Prepare for the management review - Prepare for the certification audit Sustainability management We are working on a Sustainability Policy on Environmental, Social and Governance (ESG) aspects of the organization and its work. It should be ready before the end of the year. As a member of the working group: - Finalize the policy - Create the conditions for implementation of the policy - Enhance the engagement of the organization in sustainability issues, notably in the area of Environmental. Shared Operations - Support day to day management of the department with tasks such as communications, planning and coordination, documentation, technical support (with help of servicedesk), etc. - Coordinate basic procurements and invoicing - Support with reporting and administrative tasks - Support with communications and coordination with country management teams - Provide support in organizing meetings and events, and preparing materials for these. Travel - Contribute to maintaining good relationships with the travel agency, hotels and possible new parties in order to ensure (cost-) effective arrangements - Assist the HR department in the travel arrangement of applicants coming to HO and to make sure that field colleagues who visit HO are well assisted. - Support in the development and introduction of a new booking tool. **Your opportunities** We will offer you to dive into a topic of organizational improvement that tallies your personal interest and study requirements, such as stakeholder satisfaction management, knowledge management, sustainability management, sustainability reporting, to name a few. **Your profile** - Student of HBO or Bachelor program, with specialization IBMS, Business Administration, Marketing, Economics or similar. - You areenrolled in a Dutch higher education institutefor the whole duration of the internship - Ability to produce quality work outputs within agreed priorities and to deadlines - Preferably, you have knowledge of NGO and/or development sector - Ability to maintain contacts at different levels - Excellent planning & organizational skills - Problem solving skills, can-do mentality - Pro-active, independent and flexible - Interested to work and communicate with people from various backgrounds - Strong teamwork and communication skills including presentation preparation and delivery - Excellent command of English language, both spoken","[""Education"",""Protection and Human Rights""]"
"MEDICAL ADVISOR IN COMMUNICABLE DISEASE AND IPC (re-add)
**Position Title**: Medical Advisor in Communicable Disease and IPC **Location**: North East Syria (NES) / Kurdistan Region of Iraq (KRI) **Period**: 6 months with possibility of extension **Closing date**: 08th July 2022 (applications on a rolling basis) **Starting Date**: ASAP **Context presentation** Un Ponte Per (UPP) is an international humanitarian organization, based in Italy. Originally named Un Ponte Per Baghdad (A Bridge to Baghdad), the association became simply Un Ponte Per after the extension of its work to the Balkans, as well as other Middle East and Mediterranean countries. UPP is currently active in Iraq, Syria, Jordan, Lebanon, Palestine, Serbia and Kosovo alongside civil society organizations. In Italy and in Europe, UPP works to promote peace and disarmament, human rights, and refugees and migrants’ inclusion. UPP strongly rejects war as a solution to international and national conflicts, it exerts restless efforts with the ultimate objective of developing more equal and peaceful coexistence up to social cohesion. For further information please refer to our website: [http://www.unponteper.it/en/](http://www.unponteper.it/en/) **BACKGROUND** Entering year 11 of the Syria crisis, conflict continues to expose civilians to acute humanitarian needs in protection and health, while protracted conflict worsens socio-economic resources and coping mechanisms. In North East Syria (NES) widespread displacement, destruction of basic services and increased exposure to protection risks is on-going, with women and children continuing to be some of the most affected by violence, abuse and exploitation. In response, UPP implements health and protection programmes through funding of several donors, including BHA, ECHO, AICS and other EU member states. UPP and local partners aim is to improve the physical and psychosocial wellbeing of the conflict-affected population with a view of building the capacity of local actors and the resilience of communities in NES. **SCOPE OF WORK** The Medical Advisor (MA) will work under the supervision of the Medical Coordinator, in collaboration with the HoM and Health desks in the Health Department of UPP NES Mission to design, develop and monitor the activities related to the Communicable disease, and infection prevention and control. The MA role is also to advise the Programme Department in the decision-making process and deliver project-related documents according to donor requirements. The MA role is also to advise the Programme Department in the decision-making process and deliver project-related documents according to donor requirement, with the programmatic direction and guidance of the Programme Manager. **Key Duties and Responsibilities:** The medical advisor will be responsible for: ***Technical Guidance:*** - Supporting, advising, and leading Communicable disease and infection prevention related matters in the mission program - Reviewing and monitoring the implementation of routine IPC procedures and COVID preventive procedures in the supported facilities - Developing and organizing all aspects of aseptic procedures in the supported operation theaters, neonatal ICUs, and other relevant units. - Develop, or review sector-specific guidelines and policy papers with the necessity to offer updates as required - Monitoring implementation of guidelines, protocols, and tools in health facilities in collaboration with partners, in line with HWG and sector standards - Ensure that tools and procedures to improve quality of care are available to teams and assist in continuous quality improvement in communicable diseases and the IPC program - Lead early detection and investigation of outbreaks in the supported facilities. - Prepare outbreak response plans based on the existing capacity and follow the implementation of the activities. - Define, develop and collaborate on the","[""Health""]"
"MEAL & Quality Manager in Iraq
**ARBEITER-SAMARITER-BUND DEUTSCHLAND e.V.** The **“Arbeiter-Samariter-Bund Deutschland (ASB)”** is a German aid and welfare organization with more than 300 branches at national, regional, district and municipal level all over Germany. More than 1.4 million members provide a broad social basis for our organization and more than 40,000 employees as well as over 20,000 volunteers form part of the ASB ensuring a high level of quality in areas such as rescue services, civil protection and social services. Since its foundation in 1888, the ASB has acted as a politically and denominationally independent association ensuring a high level of continuity and reliability. **ASB’s Foreign Aid Department** provides both direct emergency relief to people hit by man-made or natural disasters and longer-term rehabilitation measures designed to promote recovery and to rapidly help restore the livelihood of refugees, internally displaced persons and other vulnerable people. ASB currently has a portfolio of more than 100 relief, rehabilitation, development and inclusive Disaster Risk Reduction and runs offices in Bosnia and Herzegovina, Georgia, Greece, Haiti, Indonesia, Iraq, Kosovo, Nicaragua, Niger, Serbia and Ukraine. Operational in Iraq since 2012, and with its own office structures since 2014, ASB has been committed to support refugees, IDPs and host communities in the sectors Health, WASH, Livelihoods, Education and Protection. ASB in Iraq is currently seeking expressions of interest from qualified and committed, dynamic and self-motivated individuals for the position as **MEAL & Quality Manager in Iraq.** **1. Purpose:** The MEAL & Quality Manager is responsible for providing guidance, technical support and capacity building, ensuring that program teams are supported to carry out their planning, monitoring, evaluation, accountability and learning activities. The position contributes to overall program quality through the conceptualization, coordination, and implementation of enhanced monitoring, evaluation, accountability and learning strategies, including developing high quality written products. The emphasis is on streamlining processes and tools for program reach, efficiency, effectiveness and sustainability throughout the project cycle across the various ASB sectors and departments. The MEAL & Quality Manager reports to the Country Representative, will technically supervise project staff and partner staff in the field and will closely coordinate with respective Programme Managers. **2. Roles and responsibilities:** **Monitoring** - Ensuring that ASB monitoring standards are implemented for improved program quality and use of data within the organization: champion an organizational culture shift from a primary focus on indicator tracking to using data for programmatic course correction and decision making. - Contributing to the rollout of ASB strategic initiatives related to measurement, including adapting in-country tools where needed to enable reporting against ASB HQ and donor standards and requirements. - Developing projects specific monitoring and indicator tracking tools in consultation with program teams. - Streamlining data flow processes, storage, management, cleaning, verification and timely reporting on program performance for all sectors. - Leading the planning and implementation of periodic field monitoring exercises and data quality assessments including dissemination of findings and follow up of action points. **Assessment and Evaluation, Learning and Documentation** - Ensuring relevant, timely, and quality support to ASB-Iraq technical sectors on assessments, surveys and evaluations including developing data collection tools, recruitment and training of enumerators, setting up mobile devices and supervision of data collection, supporting data analysis, report writing and dissemination of findings. - Providing","[""Agriculture"",""Health"",""Recovery and Reconstruction""]"
"Regional Project Coordinator - MENA (International)
## Mission In situations of armed conflict, Geneva Call, as a neutral, impartial and independent international humanitarian organization, endeavors to strengthen the respect of humanitarian norms and principles by armed non-State actors, in order to improve the protection of civilians, while supporting local communities in their efforts to enhance their own protection. Appel de Genève/Geneva Call is a private, not-for-profit, humanitarian organization foundation under Swiss law, founded in 1998. Geneva Call consists of many diverse nationalities, cultures, languages and opinions. Geneva Call is an inclusive working environment for all its staff. Applications are particularly encouraged from all qualified candidates without distinction on the grounds of race, colour, sex, national origin, age, religion, disability, sexual orientation, and gender identity. ## Role Geneva Call is launching a new regional approach bringing together armed actors and religious leaders to promote international humanitarian norms. This position will coordinate this project across the MENA region. ## Main responsibilities ### **PROGRAMMING** - Ensure implementation of the MENA Regional ECHO/Diakonia project. - Ensure monitoring of the outcomes and impacts is being done at field level. - Offer support whenever needed. ### **BUDGET MONITORING** - Ensure that burn rate and implementation rate of the budget is on-track and following donor’s requirements. ### **FUNDRAISING** - Explore additional funding opportunities for the regional project. Support regional funding efforts with donors on in coordination with CDs. ### **COMMUNICATION** - Establish regional networks in support of regional approach. - Ensure that relevant data are collected and compiled to feed development of regional approach strategy. ### **SECURITY** - Ensure security evaluations for regional events. ## Transversal responsibilities ### **MANAGEMENT** - Reports to the Head of Region. - Engages regularly with the CDs. #### **COMPLIANCE** - Ensure compliance with donors’ requirements (programs). ## Education and experience - A graduate degree or equivalent experience in international relations/another humanitarian field. - At least 7 years of relevant experience in a humanitarian organization working in conflict areas, including in managing teams of at least 5 people. - Proven experience in project management including budget, HR, process and report management. - Experience of remote management of staff. - Willingness and ability to travel at short notice. - Demonstrable experience of engaging with ANSAs would be an asset. - Proven track record of field work experience with INGOs in development and emergency contexts. - Experience of successfully fundraising and dealing with institutional donors and international donors. ## Technical skills - Solid project management skills related to organizational development projects and international, cross-functional teams with a proven history of delivering results. - Excellent dispute resolution, facilitation and team building skills. - Substantial knowledge of international development systems, institutions and donors, and of procedures, accountability frameworks and best practices. - Ability to work under pressure and in conflict?affected settings, and to handle numerous tasks simultaneously. - Understanding of International Humanitarian Law is an asset. ## **Languages** - English C1-C2. - Arabic would be a strong asset. ## Personal skills - Demonstrated ability to thrive in a matrix management environment. Developed interpersonal and communication skills including influencing, negotiation and coaching. - Strong communications skills (both written and verbal) at a level appropriate for high level external representation and ability to tailor communications to different audiences. - Interpersonal skills with experience of","[""Protection and Human Rights""]"
"Campaigns and Public Affairs Coordinator
Islamic Relief Worldwide is an independent humanitarian and development organisation, serving humanity for over 38 years. With an active presence in over 40 countries across the globe, we strive to make the world a better and fairer place for those affected by poverty, conflicts and natural disasters. Islamic Relief UK (IRUK) is currently recruiting for the position of ‘Campaigns and Public Affairs Coordinator’ on a permanent, full-time basis to join its Communications & Creative Content team based out of its offices in Waterloo, London. The purpose of the role is to coordinate and deliver Islamic Relief’s campaigning work, which supports the organisation’s advocacy objectives and to support the organisation’s public affairs work through the organisation and sponsorship of events. To recruit, and develop relationships with, supporters of Islamic Relief, including community activists. To drive the delivery of our advocacy messages and mobilise individuals to take actions such as attending public events, organising discussions in their community, signing petitions and contacting and meeting their elected representatives. The postholder will also identify, develop and maintain relationships with key decision-makers, working collaboratively with colleagues as well as deliver effective influencing and political campaigns at a local and national level. **The successful candidate must have or be:** - Excellent written communication skills including the ability to produce copy for a range of stakeholders - Excellent interpersonal skills and ability to develop relationships with internal and external stakeholders, including the ability to build and maintain coalitions. - Strong verbal communication skills including the ability to explain complex concepts to non- specialist audiences - Strong campaigns planning and delivery skills - Strong project management and team coordination skills, including ability to use/produce GANTT charts and/or other planning tools - Strong networking and people skills - Strong budget management skills, including ability to manipulate and present data using Excel - Skilled in using Microsoft Office tools (Word, Excel, PowerPoint) - Skilled at multi-tasking and prioritizing workloads in a busy work environment - Skilled at negotiating with suppliers and vendors. - Advanced knowledge of the British Muslim community including a strong understanding of the key stakeholders and representative bodies. - Knowledge of the UK political landscape including the relationship between constituents and elected representatives and the types of policy processes relevant to a humanitarian and development NGO **For more information, please click on the Documents tab above to view the full Job Description.** If you are talented, reliable, service-minded, resilient and a highly motivated professional looking for a meaningful career, with a strong commitment to IRW’s mission and values of *sincerity, excellence, compassion, social justice and custodianship*, please apply by completing our online application form. For more information on the excellent company benefits we offer our employees, please visit: [https://www.islamic-relief.org/work-with-us/what-we-offer/](https://www.islamic-relief.org/work-with-us/what-we-offer/) **PLEASE NOTE:** Interviews are expected to take place on 20/07/2022. **Pre-employment Checks**: Any employment with Islamic Relief will be subject to the following checks: - screening clearance - proof of eligibility to live and work within the UK - criminal records check - receipt of satisfactory references ****Please note, for UK-based roles, we are only able to accept applications from candidates who are eligible to work in the UK. We are unable to progress applications that would require sponsorship.**** **Our values and commitment to safeguarding** IRW is committed to preventing any type","[""Coordination""]"
"Board Member
Sense International is the leading international NGO supporting people with deafblindness / multisensory impairment in [Bangladesh](https://www.senseinternational.org.uk/our-work/bangladesh), [India](https://www.senseinternational.org.uk/our-work/india), [Kenya](https://www.senseinternational.org.uk/our-work/kenya), Nepal, [Tanzania](https://www.senseinternational.org.uk/our-work/tanzania), [Peru](https://www.senseinternational.org.uk/our-work/peru), [Romania](https://www.senseinternational.org.uk/our-work/romania) and [Uganda](https://www.senseinternational.org.uk/our-work/uganda). Sense International Kenya works to ensure people with deafblindness are included in health / early years, education and vocational / livelihoods systems through partnerships, programmes and advocacy. We transform lives! Our strategy is focussed on increasing quality services for people with deafblindness; improving understanding of deafblindness; ensuring the voice of people with deafblindness is heard and their rights are realised. We are seeking a new member to join our multi-disciplinary Board. Board members are responsible for the overall governance of the organisation. They provide guidance on strategy; ensure compliance with laws and policies such as safeguarding; guide the Director; assist with fundraising; and help to raise the profile of Sense International Kenya’s work. Board members have the opportunity to serve and learn about how to ensure the rights of people with deafblindness and complex disabilities are realised. Board meetings usually take place quarterly in Nairobi or virtually. We want to recruit a Board member with an interest in our work and experience in one or more of the following: - Programme Development - Human Resources Management **General Responsibilities** - Commitment to the vision and mission of Sense International - On a quarterly basis, attends board meetings and other board activities. - Provides oversight to the organization - Stays informed about governance matters, prepares themselves well for meetings, and reviews and comments on minutes and board papers. - Participates strategic planning and organizational development - Supports in fund raising and acts as an ambassador to the organization’s vision We are looking for someone with a minimum of 5 years’ experience especially in leadership positions on the areas mentioned above. We take safeguarding seriously and will require checks and references. We are unable to accept applications from anyone with a conflict of interest\*. (\*Conflict of interest: we are unable to accept applications from anyone with a financial relationship with Sense International Kenya) Board members are not remunerated but may claim reasonable expenses involved in travelling to and from meetings. For more information about the organisation please look here: [https://www.facebook.com/senseintkenya/](https://www.facebook.com/senseintkenya/) and our website [https://www.senseinternational.org.uk/](https://www.senseinternational.org.uk/) and the role of a Board member please contact info@senseint-kenya.org.","[""Education"",""Protection and Human Rights""]"
"ER/FSL Project Manager
Key Responsibilities: Responsible for managing specific projects or project components of multiple projects including: Project(s) management: Responsible for managing the project day-to-day activities in line with field program team in line with the work plans and agreed policies/ SOPs of as well as donors Following up the project’s implementation stages in accordance with the proposal and work plan, and report the project progress to the program manager as agreed Follow up the implementation process and recognizing the obstacles and solving them/ request support from Program Manager. To deal with various data collection tools, analyze the data and highlight the findings. Collaborate with the MEAL department to ensure all monitoring activities are applied and completed accordingly, review the MEAL reports (including RNAs, PDMs, etc) received and utilize them for evidence-based project management Raising Procurement requests and recruitment requests in line with the budget and monitoring the progress in close coordination with the relevant department. Following up the project’s staff issues in a timely and appropriate manner Following the financial policies and procedures of both AHF and partner to ensure that transactions are properly documented Reporting: Preparing monthly narrative report timely and accurately Tracking the admin and financial issues in an issue log Reviewing the databases and ensuring that they are properly prepared before submission to the donors Accountability and safeguarding: Monitor and address the complaints and feedback received under the assigned projects in coordination with the accountability officer Identify lessons learnt from the complaints and feedback received and apply to the project, where possible Collaborate with the safeguarding focal point to ensure all child safeguarding and PSEA measures are applied and followed in the project Coordination: Facilitate the coordination with the MEAL and supporting departments including finance, Media, logistics and HR Participate in clusters or working groups, if assigned Note: the above mentioned key responsibilities / accountabilities are illustrative ones. Another future responsibilities/accountabilities may be assigned to the job depending on the department organizational chart. Qualification (Education/Work Experience) Essential: Relevant Bachelor Degree, preferred in agriculture engineering/civil engineering Previous experience in project’s management in I/NGO for 3 years as minimum, Experience in relevant sector is an asset. Excellent command of English B2 , Core & Managerial Competencies &Technical Core Competencies Communication Stakeholders Orientation Accountability Commitment to Continuous Learning Technological Awareness. Planning and Organizing Supervisor/Managerial Competencies Judgment/Decision-making Written and verbal communication Technical Competencies High computer skills, especially Excel, Word, and PowerPoint. High communication skills. Team leaderships. Time-Management skills. To follow up day to day implementation plans To generate plans, allocate the tasks and follow up the implementation process. To lead teams, allocate tasks, and ensure the proper managing of the activities. To analyze data to measure the indicators of the project. To generate professional narrative reports. To pay attention to details. Child Protection Policy Child abuse in all forms is unacceptable to AHF , which recognizes its responsibility to protect children from harm in all areas of its work. Violet is committed to ensuring a child-safe environment and is applying a zero-tolerance approach towards any kind of child abuse and exploitation. Discrimination, Abuse and Harassment Policy AHF expressly prohibits and will not tolerate any form of discrimination, abuse, harassment (sexual or otherwise), based upon race, ethnicity, religion, national origin,","[""Recovery and Reconstruction"",""Shelter and Non-Food Items""]"
"Request for Proposals- SEED Project Baseline Evaluation - Jordan
**CONSULTANT TERMS OF REFERENCE:** **‘Supportive Educational Engagement for Development (SEED)’ BASELINE STUDY** 1. **RIGHT TO PLAY** Established in 2000, Right To Play is an international non-governmental organization committed to improving the lives of children and youth affected by conflict, disease, and poverty. Headquartered in Toronto, Canada, Right To Play is active in 15 countries across Africa, Asia, and the Middle East, and has fundraising offices in six European and north American countries. Pioneering its innovative child-centered, play-based learning methodology, Right To Play works across the five key outcome areas of quality education, peaceful communities, health and well-being, gender equality, and child protection. Right To Play has been active in the education and sports for development sectors in Jordan since 2006, training teachers in UNRWA and Ministry of Education schools as well as coaches in local communities to provide engaging interactive sessions that utilize games and sports to promote psychosocial wellbeing, education and gender equality. . Vulnerable Jordanian, Palestinian, and Syrian children who take part play days and tournaments organized by Right To Play are more engaged in school and have vastly improved life skills. In turn, the youth with whom Right To Play works achieve higher grades, experience greater levels of cooperation and cohesion, and are empowered to overcome trauma, adversity, and cultural stigmas to fulfil their dreams. All RTP projects are gender-responsive, placing particular emphasis on female empowerment. They are also usually supported by a sustainable rehabilitation component whereby school classrooms and play spaces are renovated, football pitches are constructed within underserved communities, or students lead maintenance initiatives within their schools. In 2019, RTP reached a total of 102,848 Jordanian, Palestinian, and Syrian children and youth in schools across Amman, Irbid, Zarqa, Mafraq, and Aqaba. In addition, the organization currently has 2,904 active teachers and coaches, having trained 766 this year. 1. **‘Supportive Educational Engagement for Development (SEED)’** School closures in response to the COVID-19 pandemic have placed a considerable burden on the Jordanian education system and caused learning losses among students. The impact of school closures is compounded by pre-existing challenges, including the 2019 teacher strikes and an already overburdened and under-funded education system. Although the Ministry of Education (MoE) launched an online strategy, limited access to basic ICT infrastructure, connectivity and electricity has hampered learning in the country’s most remote areas and among vulnerable communities. The SEED project, funded by Walter Haefner Stiftung, aims to **Help vulnerable community youth overcome learning and developmental challenges resulting from COVID-19 through the provision of supportive educational services, positive learning environments, and play-based learning.** The project selected 12 community centers (1 CBO in each governorate per year) on the basis of a needs assessment exercise as well as criteria set by, and recommendations from the Ministry of Youth and RTP. Through SEED, Right To Play will train a total of 48 teachers 16 teachers per year who will conduct the remedial classes in CBOs, covering the subjects, English, mathematics, Arabic and science. Reaching about 2880 students in catch up class over the course of three years. The project is composed of three main intervention arms: **Outcome 1: Community centers are capacitated and equipped to act as educational support centers for children and youth** The project will follow a three-pronged approach towards the development of community centers as an appropriate space for the provision of educational support. - **Firstly**, community centers will be","[""Education""]"
